1	2005-10-27 23:40:14.000	To hide a column at run time you can hook up to the GridView's RowDataBound event and set the Visible property of the cell you want to hide to false:

 

protected void GridView1_RowDataBound(object sender, GridViewRowEventArgs e)

{

e.Row.Cells[0].Visible = false;

}
	Fredrik.NSquared2.com/viewpost.aspx?PostID=339&showfeedback=true		KnowledgeBasePage.aspx.cs	1301
2	2005-10-28 12:38:52.000	if ( !Page.IsPostBack ) { ButtonClose.Attributes.Add("onClick", "javascript:window.close();"); }	VB2TheMax.com/ShowContent.aspx?ID=ccc400c5-77d2-412b-bd5f-a89cf22ee854		KnowledgeBasePage.aspx.cs	
6	2005-11-01 12:31:00.000	AcroRd32.exe /t path "printername" "drivername" "portname"	Partners.adobe.com/public/developer/en/acrobat/sdk/pdf/intro_to_sdk/DeveloperFAQ.pdf			
7	2005-12-28 17:25:05.000	this.Close(); Application.Exit(); System.Environment.Exit(0); 				
8	2005-12-28 17:25:56.000	public new static void SampleMethod() { System.Console.WriteLine("Sample method Child"); }				
9	2006-03-04 13:05:48.000	TextBoxUpperCase.Attributes.Add("onKeyUp", "this.value=this.value.toUpperCase();");	aspexpress.com/tips.asp?action=show&id=178		TextBoxUpperCase.aspx	
10	2006-03-16 11:36:33.000	Thread thread = new Thread(new ThreadStart(UtilityThread.Multiply)); thread.Start(); UtilityThread.Divide(); thread.Join(); lock (typeof(UtilityThread)) { ++threadIterator; }	research.microsoft.com/~birrell/papers/ThreadsCSharp.pdf		UtilityThread.cs	
11	2006-04-11 12:56:05.000	<asp:imagebutton runat="server" id="btn_close" ImageUrl="close.gif" AlternateText="Close" OnCommand="ImageButton_Command" CommandArgument='<%# DataBinder.Eval(Container,"DataItem.SequenceOrderId")%>' CommandName="Close" /> <script language="C#" runat="server"> <head>public void ImageButton_Command(Object sender, CommandEventArgs e) { Response.Write(e.CommandName.ToString() + e.CommandArgument.ToString()); } </script></head>	msdn2.microsoft.com/en-US/library/system.web.ui.webcontrols.imagebutton.oncommand(VS.80).aspx		SacredTextRelease200604111247.aspx	
12	2006-04-14 21:28:31.000	private delegate string StringFunction(string english); StringFunction functionReference; functionReference = TranslateEnglishToFrench; string frenchSTring = functionReference("Girl"); public static string TranslateEnglishToFrench(string english) { }	ProseTech.com			
13	2006-04-15 10:49:05.000	using System.Collections.Generic; List<string> site; site = new List<string>(); site.Add( fileSystemInfo.Name );	ondotnet.com/pub/a/dotnet/2004/04/12/csharpwhidbeypt2.html		UtilityIISLog.cs	
14	2006-04-15 13:18:06.000	NonBreakingSpace&nbsp;			NonBreakingSpace&nbsp;.html	
15	2006-04-15 14:34:51.000	HtmlGenericControl Literal div InnerText				
17	2006-04-14 00:00:00.000	DBCC SHRINKDATABASE (Bible, TRUNCATEONLY)			D:\Note\Comforter.org\SQLServerScript\20060414DBCC SHRINKDATABASE (Bible, TRUNCATEONLY).sql	
18	2006-04-15 18:12:49.000	Response.Write( WebConfiguration.AppSettings["ConnectionString"]);	ProseTech.com			
